TER	0	0	0	-1	-1	-1	1	1	1	both				
TOP+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1	1				
TOP++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
TOP+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
TOP-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
TOP+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
TOP-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
TOP--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
TOP---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
VÄI+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1	1				1
VÄI++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
VÄI+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
VÄI-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
VÄI+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
VÄI-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
VÄI--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
VÄI---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
TTN+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
TTN++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
TTN+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
TTN-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
TTN+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
TTN-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
TTN--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
TTN---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
TTS+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
TTS++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
TTS+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
TTS-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
TTS+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
TTS-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
TTS--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
TTS---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
MYÖ+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
MYÖ++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
MYÖ+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
MYÖ-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
MYÖ+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
MYÖ-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
MYÖ--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
MYÖ---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
KII+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
KII++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
KII+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
KII-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
KII+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
KII-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
KII--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
KII---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
YLL+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
YLL++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
YLL+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
YLL-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
YLL+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
YLL-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
YLL--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
YLL---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
VYL+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
VYL++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
VYL+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
VYL-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
VYL+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
VYL-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
VYL--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
VYL---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
KYS+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
KYS++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
KYS+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
KYS-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
KYS+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
KYS-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
KYS--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
KYS---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
VSM+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
VSM++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
VSM+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
VSM-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
VSM+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
VSM-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
VSM--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
VSM---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
VSK+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
VSK++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
VSK+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
VSK-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
VSK+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
VSK-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
VSK--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
VSK---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
KOA	0	0	0	-1	-1	-1	1	1	1					
TIPB	0	0	0	-1	-1	-1	1	1	1					
KOB	0	0	0	-1	-1	-1	1	1	1					
EVA	0	0	0	-1	-1	-1	1	1	1					
KAN	0	0	0	-1	-1	-1	1	1	1					
JTK	0	0	0	-1	-1	-1	1	1	1					
KOBV	0	0	0	-1	-1	-1	1	1	1					
TIAB+	0	0	0	-1	-1	-1	1	1	1					
TIP	0	0	0	-1	-1	-1	1	1	1					
TIA+	0	0	0	-1	-1	-1	1	1	1					
TOR	-0.1	-0.5	-0.3	-1	-1	-1	1	1	1					
TPB	-0.1	-0.5	-0.3	-1	-1	-1	1	1	1					
IND	0	0	0	-1	-1	-1	1	1	1					
IDK	0	0	0	-1	-1	-1	1	1	1					
VVA	0	0	0	-1	-1	-1	1	1	1					
VVK	0	0	0	-1	-1	-1	1	1	1					
VAL	0	0	0	-1	-1	-1	1	1	1					
VLK	0	0	0	-1	-1	-1	1	1	1					
MMU+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
MMU++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
MMU+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
MMU-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
MMU+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
MMU-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
MMU--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
MMU---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
MMK+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
MMK++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
MMK+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
MMK-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
MMK+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
MMK-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
MMK--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
MMK---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
PVT+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
PVT++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
PVT+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
PVT-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
PVT+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
PVT-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
PVT--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
PVT---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
PVK+++	0.1	0.2	-0.1	-0.2	-0.2	-0.2	1	1	1					
PVK++-	0.2	0.1	0.1	-0.2	-0.2	-1	1	1	0.2					
PVK+-+	0.1	-0.1	-0.1	-0.2	-1	-0.2	1	0.2	1					
PVK-++	-0.25	0.25	-0.1	-1	-0.2	-0.2	0.2	1	1					
PVK+--	0.2	-0.1	0.1	-0.2	-1	-1	1	0.2	0.2					
PVK-+-	-0.15	0.15	0.1	-1	-0.2	-1	0.2	1	0.2					
PVK--+	-0.2	-0.15	-0.1	-1	-1	-0.2	0.2	0.2	1					
PVK---	-0.2	-0.1	0.1	-1	-1	-1	0.2	0.2	0.2					
