toimintotyyppi	kieltomuoto?	kysymys?	subjekti	verbi	apuverbi	modus	aikamuoto	Pre-vp 
TER	FALSE	FALSE	project	None	None	None	None	None
KÄS	FALSE	FALSE	project	project	None	IMPV	prees	None
TOTN	FALSE	FALSE	project	project	None	INDV	prees	hyvä on
TOTS	TRUE	FALSE	project	project	None	INDV	prees	None
TOP	FALSE	TRUE	project	project	None,voida,haluta	COND	prees	None
TOE	FALSE	FALSE	project	project	voida,haluta	COND	prees	None
TIP	FALSE	TRUE	project	project	None	INDV	prees	None
TIA+	FALSE	FALSE	project	project	None	INDV	prees	kyllä
TIA-	TRUE	FALSE	project	project	None	INDV	prees	None
TIÄ	TRUE	FALSE	Speaker	tietää	None	INDV	prees	None
TOR	FALSE	TRUE	Listener	luulla	None	INDV	prees	None
VÄI	FALSE	FALSE	project	project	None	INDV	prees	None
SAM-KAN	FALSE	FALSE	project	project	None,taitaa	INDV	prees	niin
ERI-KAN	TRUE	FALSE	project	project	None	INDV	prees	None
KAN	FALSE	FALSE	project	project	None	INDV	prees	None
KER	FALSE	FALSE	project	project	None	INDV	imperf	None
KOA	FALSE	TRUE	project	None	None	INDV	prees	mitä
