STER		SKOR, SKORB, STIP	SKOR, SKORB
SKÄS		SKOR, SKORB, STIP	SKOR, SKORB, SJSK, STOI
STOP		SKOR, SKORB, STIP	SKOR, SKORB, SJSK, STOI
STOE		SKOR, SKORB, STIP	SKOR, SJSK, STOI, SKORB
STIP		SKOR, SKORB, STIP	SKOR, SJSK, SJPM, SJTK, STOI, SKAN, SKORB
SVÄI		SKOR, STIP, SKORB	SKOR, SJSK, SJTK, STOI, SKAN, SKORB
SKAN		SKOR, STIP, SKORB	SKOR, SJSK, SJPM, SJTK, STOI, SKAN, SKORB
SKER	SKAN	SKOR, STIP, SKORB	SKOR, SJSK, SJPM, SKORB
SKOR		SKOR, SKORB	SKOR, SKORB
SKORB		SKORB, SKOR	SKORB, SKOR
STOI			
SJSK			
